tag_id,book_id,goodreads_book_id,count
71,6106,57605,143
134,34,10818853,116
177,56,1162543,114
177,34,10818853,105
236,54,11,230
236,189,33,132
236,19,34,117
236,293,295,186
236,94,320,217
236,397,343,196
236,371,350,105
236,2337,431,100
236,498,656,154
236,32,890,260
236,33,930,221
236,629,1431,151
236,10,1885,363
236,42,1934,239
236,83,1953,164
236,1160,2052,117
236,230,2156,174
236,130,2165,213
236,560,2175,185
236,115,2187,206
236,298,2493,175
236,160,2623,207
236,4,2657,353
236,478,2932,167
236,58,2956,230
236,829,3087,124
236,1949,3102,104
236,514,3590,140
236,5556,3656,114
236,1928,3679,107
236,1005,3711,140
236,2506,3758,107
236,658,3805,116
236,597,3836,146
236,264,3876,138
236,1835,4008,103
236,45,4214,272
236,131,4395,197
236,325,4473,141
236,5,4671,363
236,301,4900,187
236,430,4929,161
236,485,4934,127
236,65,4981,228
236,2013,5015,123
236,8,5107,345
236,483,5113,131
236,55,5129,265
236,1566,5246,129
236,95,5297,284
236,204,5326,164
236,13,5470,354
236,1073,5797,120
236,7,5907,282
236,2026,6138,112
236,354,6149,162
236,63,6185,300
236,1544,6192,126
236,268,6334,242
236,1605,6440,102
236,178,6514,229
236,212,6867,247
236,272,6952,136
236,171,6969,208
236,476,7069,115
236,360,7082,130
236,103,7126,189
236,177,7144,214
236,413,7190,151
236,100,7244,166
236,919,7354,114
236,959,7588,121
236,121,7604,230
236,14,7613,336
236,28,7624,302
236,529,7733,156
236,350,7745,105
236,547,8909,154
236,618,8921,171
236,669,9328,121
236,233,9712,172
236,323,9717,179
236,436,9777,152
236,43,10210,307
236,401,10799,147
236,520,11275,129
236,763,11337,104
236,72,11588,191
236,1133,11713,119
236,941,11899,145
236,872,11989,113
236,138,12296,212
236,1041,12505,102
236,270,12873,199
236,1878,12948,115
236,257,13023,129
236,317,13214,123
236,1055,14836,110
236,76,14935,225
236,701,14942,161
236,1410,16328,132
236,2286,16640,112
236,736,16981,107
236,1518,17125,125
236,1204,17184,110
236,97,17245,243
236,3837,17650,102
236,614,17690,128
236,1509,17728,122
236,2259,17841,106
236,361,18254,162
236,66,18405,190
236,71,18490,260
236,961,19089,118
236,576,19380,161
236,1120,21348,113
236,274,22034,113
236,400,22328,114
236,229,24213,110
236,109,24280,162
236,1090,24800,100
236,5033,25807,103
236,499,28676,136
236,820,28921,168
236,494,29044,149
236,484,29059,121
236,1598,29999,104
236,778,30597,120
236,1393,30933,108
236,1477,31242,108
236,1088,31463,103
236,1681,32067,141
236,559,32261,154
236,972,32829,119
236,468,37415,128
236,410,37781,167
236,119,38447,274
236,432,41804,120
236,205,43763,174
236,2809,44597,116
236,471,45032,179
236,2062,45162,103
236,1184,46164,142
236,395,46170,109
236,650,46787,121
236,162,49552,168
236,522,49628,157
236,451,50398,152
236,390,51496,189
236,180,52036,179
236,899,53835,144
236,706,54479,145
236,2355,54539,104
236,3076,56034,103
236,1845,58027,119
236,782,58345,133
236,590,58696,128
236,1084,59716,149
236,284,70401,174
236,503,70535,114
236,2187,76171,105
236,883,78433,146
236,727,101299,152
236,592,117833,160
236,424,119073,153
236,3892,124509,100
236,1561,130440,113
236,297,135479,132
236,194,153747,161
236,1114,156538,103
236,80,157993,264
236,181,168642,173
236,113,168668,211
236,3643,175675,100
236,2468,206172,102
236,664,251688,204
236,587,256566,170
236,426,310612,129
236,129,332613,203
236,1214,338798,108
236,357,355697,147
236,2027,374233,112
236,191,472331,142
236,1659,530965,111
236,1940,567678,107
236,3262,2247142,106
236,172,15823480,220
240,54,11,377
240,189,33,232
240,19,34,201
240,1783,264,137
240,4602,275,150
240,293,295,279
240,94,320,380
240,397,343,318
240,371,350,125
240,1042,365,144
240,3581,415,107
240,2337,431,180
240,498,656,243
240,3560,703,159
240,1142,816,104
240,32,890,482
240,33,930,398
240,2366,1715,127
240,1487,1848,138
240,375,1852,152
240,10,1885,606
240,42,1934,444
240,83,1953,280
240,1160,2052,191
240,4443,2054,101
240,230,2156,309
240,130,2165,383
240,560,2175,320
240,115,2187,351
240,298,2493,291
240,160,2623,362
240,4,2657,678
240,1739,2666,137
240,1797,2794,139
240,478,2932,268
240,58,2956,378
240,829,3087,259
240,1949,3102,176
240,514,3590,229
240,5556,3656,172
240,1928,3679,171
240,4605,3690,113
240,3106,3698,144
240,1005,3711,234
240,2506,3758,173
240,658,3805,218
240,597,3836,226
240,264,3876,236
240,516,3985,121
240,1835,4008,177
240,45,4214,469
240,131,4395,329
240,325,4473,208
240,5,4671,639
240,1161,4799,155
240,301,4900,294
240,430,4929,274
240,485,4934,193
240,405,4980,179
240,65,4981,404
240,2013,5015,224
240,8,5107,563
240,483,5113,215
240,55,5129,497
240,779,5211,153
240,1566,5246,200
240,95,5297,478
240,204,5326,305
240,2846,5344,116
240,13,5470,602
240,1073,5797,194
240,5392,5872,103
240,1064,5890,244
240,7,5907,502
240,2026,6138,180
240,354,6149,266
240,2190,6150,132
240,63,6185,522
240,1544,6192,190
240,5700,6194,114
240,1758,6259,145
240,268,6334,418
240,1605,6440,148
240,1657,6759,151
240,3141,6862,156
240,212,6867,420
240,3412,6870,136
240,272,6952,240
240,171,6969,395
240,476,7069,184
240,360,7082,230
240,103,7126,326
240,177,7144,349
240,413,7190,232
240,100,7244,297
240,919,7354,169
240,1571,7437,138
240,14,7613,561
240,28,7624,522
240,6553,7628,110
240,529,7733,265
240,350,7745,193
240,3321,7805,118
240,547,8909,229
240,618,8921,285
240,669,9328,211
240,1270,9557,163
240,8189,9654,108
240,233,9712,298
240,323,9717,282
240,436,9777,247
240,2698,9809,133
240,1908,9915,110
240,6283,9957,138
240,43,10210,552
240,401,10799,232
240,718,10975,189
240,7812,11041,100
240,8508,11229,102
240,520,11275,253
240,3828,11299,142
240,9323,11324,101
240,1642,11334,131
240,763,11337,160
240,2508,11346,110
240,72,11588,284
240,2079,11650,123
240,1133,11713,187
240,3703,11734,139
240,1312,11762,165
240,872,11989,181
240,138,12296,361
240,1041,12505,162
240,2440,12781,159
240,270,12873,361
240,8162,12923,137
240,1878,12948,183
240,257,13023,203
240,317,13214,207
240,2709,14662,141
240,1055,14836,208
240,76,14935,398
240,701,14942,303
240,8692,15050,103
240,5024,15054,101
240,2747,15055,137
240,155,15241,114
240,1411,15622,120
240,2810,16286,128
240,1410,16328,241
240,1015,16631,151
240,2286,16640,195
240,819,16902,145
240,736,16981,171
240,1518,17125,182
240,3523,17143,109
240,1204,17184,171
240,97,17245,401
240,3837,17650,146
240,614,17690,225
240,1509,17728,186
240,2259,17841,152
240,361,18254,263
240,9549,18266,107
240,2002,18386,154
240,66,18405,331
240,71,18490,445
240,161,18512,115
240,1792,18749,133
240,3210,18839,169
240,2375,18989,138
240,961,19089,213
240,9561,19106,130
240,2131,19117,120
240,868,19302,134
240,576,19380,253
240,2517,19494,139
240,5931,20563,106
240,2952,20564,140
240,1120,21348,204
240,1485,21704,156
240,274,22034,204
240,3080,23814,124
240,788,23955,150
240,7496,24100,134
240,229,24213,201
240,109,24280,266
240,1090,24800,159
