tag_id,tag_name
71,00-in-class
134,1
177,1-star
236,1001
240,1001-books
251,1001-books-to-read-before-you-die
254,1001-books-you-must-read-before-you
350,16th-century
362,17th-century
392,18th-century
414,1920s
420,1930s
442,1950s
450,1960s
509,19th-century
609,2003
611,2004
615,2005
617,2006
686,2012-books
694,2012-read
698,2012-reads
711,2013-books
722,2013-reads
736,2014-books
747,2014-read
751,2014-reads
752,2014-release
753,2014-releases
766,2015-books
767,2015-books-read
770,2015-challenge
780,2015-read
781,2015-reading-challenge
783,2015-reads
784,2015-release
785,2015-releases
805,2016-books
809,2016-challenge
813,2016-favorites
823,2016-read
829,2016-reading-challenge
831,2016-reads
832,2016-release
833,2016-releases
855,2017-books
888,2017-read
893,2017-reading-challenge
895,2017-reads
896,2017-release
897,2017-releases
901,2017-tbr
923,20th-century
941,21st-century
1010,3-stars
1039,39-clues
1078,4-stars
1120,5-star
1128,5-stars
1143,50-shades
1144,50-shades-of-grey
1248,9-11
1265,9th-grade
1303,a-child-called-it
1371,a-series-of-unfortunate-events
1377,a-song-of-ice-and-fire
1416,abandoned
1434,abbi-glines
1439,abc
1441,abc-books
1444,abduction
1499,abuse
1518,acceptance
1535,across-the-universe
1540,action
1542,action-adventure
1599,addiction
1619,adolescence
1629,adoption
1642,adult
1654,adult-fantasy
1659,adult-fiction
1679,adult-romance
1684,adultery
1691,adventure
1743,afghanistan
1746,africa
1750,african
1753,african-american
1761,african-american-lit
1762,african-american-literature
1773,african-lit
1774,african-literature
1790,afterlife
1798,agatha
1800,agatha-christie
1808,agatha-raisin
1847,aging
1854,agriculture
1934,alan-moore
1938,alaska
1943,albert-camus
1960,alcoholism
1963,aldous-huxley
1982,alex-cross
1988,alex-cross-series
1993,alex-flinn
2001,alex-rider
2012,alexander-mccall-smith
2023,alexandre-dumas
2030,algeria
2038,alice-clayton
2042,alice-in-wonderland
2046,alice-sebold
2048,alien
2056,aliens
2088,all-souls-trilogy
2104,all-time-favorites
2106,all-time-favourites
2113,allegory
2126,ally-carter
2127,ally-condie
2136,alpha-male
2138,alpha-males
2142,alphabet
2158,already-read
2166,alt-history
2173,alternate-history
2186,alternative-history
2200,alyson-noel
2206,alzheimers
2210,amanda-hocking
2271,america
2277,american
2284,american-civil-war
2287,american-classics
2297,american-girl
2305,american-history
2312,american-lit
2313,american-literature
2323,american-revolution
2335,americana
2345,amish
2359,amnesia
2373,amulet
2389,amy-tan
2411,anarchism
2424,ancient
2427,ancient-egypt
2429,ancient-greece
2435,ancient-history
2445,ancient-rome
2469,andrea-cremer
2499,angel
2516,angels
2517,angels-and-demons
2519,angels-demons
2531,anglo-saxon
2538,angst
2557,animal-human-bond
2568,animal-rights
2580,animals
2593,anime
2602,anita-blake
2603,anita-blake-series
2608,anita-shreve
2643,anne-bishop
2648,anne-frank
2651,anne-mccaffrey
2657,anne-of-green-gables
2660,anne-rice
2681,anorexia
2686,antarctica
2687,anthologies
2690,anthology
2697,anthony-horowitz
2705,anthropology
2732,antiquity
2766,apocalypse
2768,apocalyptic
2779,apologetics
2791,appalachian-trail
2798,apple
2828,arabic
2852,arc
2867,architecture
2885,argeneau
2891,argentina
2938,art
3027,art-history
3104,art-theft
3127,artemis-fowl
3133,arthur-c-clarke
3135,arthur-conan-doyle
3140,arthurian
3142,arthurian-legend
3216,asia
3218,asian
3219,asian-american
3232,asian-literature
3236,asimov
3245,asoiaf
3248,asperger-s
3251,aspergers
3259,assassin
3265,assassins
3271,assigned-reading
3273,assisted-suicide
3288,astronomy
3308,atheism
3336,attack-on-titan
3358,audible
3371,audio
3377,audio-book
